Period,Country,Sector,Subsector,Flow,Value,Marker
year/2018,belgium,cultural-sector,arts,exports,3.9857327704274,
year/2018,belgium,cultural-sector,film-tv-and-music,exports,67.3618972029089,
year/2018,belgium,cultural-sector,radio,exports,0.0,suppressed
year/2018,belgium,cultural-sector,photography,exports,0.0,suppressed
year/2018,belgium,cultural-sector,cultural-crafts,exports,0.0,
year/2018,belgium,cultural-sector,museums-and-galleries,exports,0.0,
year/2018,belgium,cultural-sector,library-and-archives,exports,0.0,suppressed
year/2018,belgium,cultural-sector,cultural-education,exports,0.0,suppressed
year/2018,belgium,cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,exports,0.0,
year/2018,belgium,audio-visual,audio-visual,exports,68.4720073972959,
year/2018,bulgaria,dcms-sectors-exc-tourism-and-civil-society,creative-industries,exports,52.0130346561042,
year/2018,bulgaria,dcms-sectors-exc-tourism-and-civil-society,cultural-sector,exports,36.0006059588853,
year/2018,bulgaria,dcms-sectors-exc-tourism-and-civil-society,digital-sector,exports,69.5674900906405,
year/2018,bulgaria,dcms-sectors-exc-tourism-and-civil-society,gambling,exports,0.0,suppressed
year/2018,bulgaria,dcms-sectors-exc-tourism-and-civil-society,sport,exports,0.0,suppressed
year/2018,bulgaria,dcms-sectors-exc-tourism-and-civil-society,telecoms,exports,9.9102208843172,
year/2018,bulgaria,dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,exports,97.284508952567,
year/2018,bulgaria,creative-industries,advertising-and-marketing,exports,0.8390725834403,
year/2018,bulgaria,creative-industries,architecture,exports,0.0,suppressed
year/2018,bulgaria,creative-industries,crafts,exports,0.0,
year/2018,bulgaria,creative-industries,design-and-designer-fashion,exports,0.194620541564,
year/2018,bulgaria,creative-industries,film-tv-radio-and-photography,exports,35.6787899618061,
year/2018,bulgaria,creative-industries,it-software-and-computer-services,exports,11.8946275068861,
year/2018,bulgaria,creative-industries,publishing,exports,2.3561080653285,
year/2018,bulgaria,creative-industries,museums-galleries-and-libraries,exports,0.0,suppressed
year/2018,bulgaria,creative-industries,music-performing-and-visual-arts,exports,0.3208159970792,
year/2018,bulgaria,digital-sector,manufacturing-of-electronics-and-computers,exports,0.0,suppressed
year/2018,bulgaria,digital-sector,wholesale-of-computers-and-electronics,exports,0.0,suppressed
year/2018,bulgaria,digital-sector,publishing-excluding-translation-and-interpretation-activities,exports,2.3351080653285,
year/2018,bulgaria,digital-sector,software-publishing,exports,0.053018416988,
year/2018,bulgaria,digital-sector,film-tv-video-radio-and-music,exports,35.7168193735711,
year/2018,bulgaria,digital-sector,telecommunications,exports,9.9102208843172,
year/2018,bulgaria,digital-sector,computer-programming-consultancy-and-related-activities,exports,13.4377456827551,
year/2018,bulgaria,digital-sector,information-service-activities,exports,4.43729605321,
year/2018,bulgaria,digital-sector,repair-of-computers-and-communication-equipment,exports,0.0,suppressed
year/2018,bulgaria,cultural-sector,arts,exports,0.2827865853142,
year/2018,bulgaria,cultural-sector,film-tv-and-music,exports,35.7008193735711,
